cota,volacum
2543.91,0.0
2543.99,0.001401
2544.07,1.111159
2544.15,10.226293
2544.24,24.115604
2544.32,37.498305
2544.4,51.492531
2544.48,66.149664
2544.56,81.370031
2544.64,97.095148
2544.73,115.472773
2544.81,132.387516
2544.89,149.858391
2544.97,168.376859
2545.05,188.038641
2545.13,209.550406
2545.22,235.672766
2545.3,260.82775
2545.38,287.848125
2545.46,316.930375
2545.54,348.3415
2545.62,382.200844
2545.71,423.390406
2545.79,464.143531
2545.87,509.283656
2545.95,558.66425
2546.03,612.470438
2546.11,670.395812
2546.2,740.2785
2546.28,806.498375
2546.36,876.045938
2546.44,948.447188
2546.52,1023.894875
2546.6,1102.094625
2546.68,1182.6375
2546.77,1276.12375
2546.85,1361.201875
2546.93,1447.682
2547.01,1535.98425
2547.09,1625.681
2547.17,1716.184625
2547.26,1819.474375
2547.34,1912.216
2547.42,2005.467375
2547.5,2099.78075
2547.58,2194.70875
2547.66,2289.86225
2547.75,2397.6545
2547.83,2493.72325
2547.91,2589.7165
2547.99,2686.191
2548.07,2782.814
2548.15,2879.25075
2548.24,2988.15375
2548.32,3085.006
2548.4,3181.60575
2548.48,3278.5255
2548.56,3375.464
2548.64,3472.12775
2548.73,3581.2245
2548.81,3678.21325
2548.89,3774.927
2548.97,3871.95425
2549.05,3968.99925
2549.13,4065.76925
2549.22,4174.99075
2549.3,4272.1015
2549.38,4368.9395
2549.46,4466.104
2549.54,4563.275
2549.62,4660.4585
2549.7,4757.357
2549.79,4866.703
2549.87,4963.9055
2549.95,5060.82
2550.03,5158.0255
2550.11,5255.243
2550.19,5352.1615
2550.28,5461.5345
2550.36,5558.7535
2550.44,5655.6835
2550.52,5752.9135
2550.6,5850.147
2550.68,5947.0785
2550.77,6056.474
2550.85,6153.714
2550.93,6250.6575
2551.01,6347.906
2551.09,6445.155
2551.17,6542.1105
2551.26,6651.509
2551.34,6748.7625
2551.42,6845.72
2551.5,6942.9745
2551.58,7040.2295
2551.66,7137.1825
2551.75,7246.59
2551.83,7343.8465
2551.91,7440.8005
2551.99,7538.0545
